3.253685e-06+0.000000e+00i 2.015948e-06+0.000000e+00i
3.286684e-06+0.000000e+00i 2.002863e-06+0.000000e+00i
3.233509e-06+0.000000e+00i 1.998956e-06+0.000000e+00i
3.282891e-06+0.000000e+00i 2.006346e-06+0.000000e+00i
3.231348e-06+0.000000e+00i 1.996080e-06+0.000000e+00i
3.258828e-06+0.000000e+00i 1.982606e-06+0.000000e+00i
3.276170e-06+0.000000e+00i 1.994460e-06+0.000000e+00i
3.267314e-06+0.000000e+00i 2.008527e-06+0.000000e+00i
3.301125e-06+0.000000e+00i 2.014831e-06+0.000000e+00i
3.239946e-06+0.000000e+00i 1.994330e-06+0.000000e+00i
3.290639e-06+0.000000e+00i 2.012005e-06+0.000000e+00i
3.242894e-06+0.000000e+00i 1.982782e-06+0.000000e+00i
3.254019e-06+0.000000e+00i 1.994346e-06+0.000000e+00i
3.303755e-06+0.000000e+00i 1.988802e-06+0.000000e+00i
3.270550e-06+0.000000e+00i 2.009497e-06+0.000000e+00i
3.302833e-06+0.000000e+00i 2.011195e-06+0.000000e+00i
3.257576e-06+0.000000e+00i 2.001045e-06+0.000000e+00i
3.279083e-06+0.000000e+00i 2.003309e-06+0.000000e+00i
3.259500e-06+0.000000e+00i 1.980186e-06+0.000000e+00i
3.272467e-06+0.000000e+00i 1.997615e-06+0.000000e+00i
3.297867e-06+0.000000e+00i 1.989228e-06+0.000000e+00i
3.270811e-06+0.000000e+00i 2.010338e-06+0.000000e+00i
3.309573e-06+0.000000e+00i 2.014107e-06+0.000000e+00i
3.255509e-06+0.000000e+00i 2.000258e-06+0.000000e+00i
3.296307e-06+0.000000e+00i 1.998014e-06+0.000000e+00i
3.259451e-06+0.000000e+00i 1.989816e-06+0.000000e+00i
3.280161e-06+0.000000e+00i 1.994291e-06+0.000000e+00i
3.287861e-06+0.000000e+00i 1.974093e-06+0.000000e+00i
3.271496e-06+0.000000e+00i 2.025686e-06+0.000000e+00i
3.306977e-06+0.000000e+00i 2.010007e-06+0.000000e+00i
3.249178e-06+0.000000e+00i 2.014383e-06+0.000000e+00i
3.320955e-06+0.000000e+00i 1.979384e-06+0.000000e+00i
3.241251e-06+0.000000e+00i 1.986747e-06+0.000000e+00i
3.282218e-06+0.000000e+00i 2.008964e-06+0.000000e+00i
3.294283e-06+0.000000e+00i 1.982550e-06+0.000000e+00i
3.255044e-06+0.000000e+00i 2.016752e-06+0.000000e+00i
3.312019e-06+0.000000e+00i 1.994084e-06+0.000000e+00i
3.259787e-06+0.000000e+00i 2.017473e-06+0.000000e+00i
3.315924e-06+0.000000e+00i 1.977644e-06+0.000000e+00i
3.236974e-06+0.000000e+00i 2.003365e-06+0.000000e+00i
3.285771e-06+0.000000e+00i 1.988270e-06+0.000000e+00i
3.285607e-06+0.000000e+00i 1.992323e-06+0.000000e+00i
3.264371e-06+0.000000e+00i 2.021656e-06+0.000000e+00i
3.292172e-06+0.000000e+00i 1.993893e-06+0.000000e+00i
3.256919e-06+0.000000e+00i 2.007387e-06+0.000000e+00i
3.327805e-06+0.000000e+00i 1.989325e-06+0.000000e+00i
3.230772e-06+0.000000e+00i 2.007983e-06+0.000000e+00i
3.315714e-06+0.000000e+00i 1.986552e-06+0.000000e+00i
3.255591e-06+0.000000e+00i 1.989618e-06+0.000000e+00i
3.263595e-06+0.000000e+00i 2.011777e-06+0.000000e+00i
3.297210e-06+0.000000e+00i 1.981255e-06+0.000000e+00i
3.243893e-06+0.000000e+00i 2.024362e-06+0.000000e+00i
3.335512e-06+0.000000e+00i 1.983812e-06+0.000000e+00i
3.230656e-06+0.000000e+00i 2.012206e-06+0.000000e+00i
3.325457e-06+0.000000e+00i 1.980879e-06+0.000000e+00i
3.242595e-06+0.000000e+00i 2.014830e-06+0.000000e+00i
3.280014e-06+0.000000e+00i 2.003574e-06+0.000000e+00i
3.287704e-06+0.000000e+00i 1.959650e-06+0.000000e+00i
3.249765e-06+0.000000e+00i 2.028900e-06+0.000000e+00i
3.322104e-06+0.000000e+00i 1.993617e-06+0.000000e+00i
3.242531e-06+0.000000e+00i 2.014898e-06+0.000000e+00i
3.319861e-06+0.000000e+00i 1.981499e-06+0.000000e+00i
3.244594e-06+0.000000e+00i 1.994249e-06+0.000000e+00i
3.299962e-06+0.000000e+00i 2.013926e-06+0.000000e+00i
3.276569e-06+0.000000e+00i 1.975828e-06+0.000000e+00i
3.266085e-06+0.000000e+00i 2.015809e-06+0.000000e+00i
3.307369e-06+0.000000e+00i 1.973821e-06+0.000000e+00i
3.239812e-06+0.000000e+00i 2.026902e-06+0.000000e+00i
3.340295e-06+0.000000e+00i 1.978382e-06+0.000000e+00i
3.230185e-06+0.000000e+00i 2.024293e-06+0.000000e+00i
3.312092e-06+0.000000e+00i 1.995430e-06+0.000000e+00i
